readGroup	mappingQuality	count
allReadGroups	30	76540
allReadGroups	31	105766
allReadGroups	32	38843
allReadGroups	33	157265
allReadGroups	34	71680
allReadGroups	35	70418
allReadGroups	36	96802
allReadGroups	37	130280
allReadGroups	38	40703
allReadGroups	39	198936
allReadGroups	40	2950146
allReadGroups	41	247471
allReadGroups	42	363029
allReadGroups	43	448028
allReadGroups	44	452314
allReadGroups	45	625412
allReadGroups	46	771336
allReadGroups	47	209520
allReadGroups	48	144495
allReadGroups	49	166148
allReadGroups	50	80351
allReadGroups	51	123045
allReadGroups	52	135011
allReadGroups	53	227382
allReadGroups	54	470248
allReadGroups	55	341854
allReadGroups	56	466338
allReadGroups	57	865072
allReadGroups	58	531804
allReadGroups	59	173435
allReadGroups	60	488989902
SRR14572852	30	76540
SRR14572852	31	105766
SRR14572852	32	38843
SRR14572852	33	157265
SRR14572852	34	71680
SRR14572852	35	70418
SRR14572852	36	96802
SRR14572852	37	130280
SRR14572852	38	40703
SRR14572852	39	198936
SRR14572852	40	2950146
SRR14572852	41	247471
SRR14572852	42	363029
SRR14572852	43	448028
SRR14572852	44	452314
SRR14572852	45	625412
SRR14572852	46	771336
SRR14572852	47	209520
SRR14572852	48	144495
SRR14572852	49	166148
SRR14572852	50	80351
SRR14572852	51	123045
SRR14572852	52	135011
SRR14572852	53	227382
SRR14572852	54	470248
SRR14572852	55	341854
SRR14572852	56	466338
SRR14572852	57	865072
SRR14572852	58	531804
SRR14572852	59	173435
SRR14572852	60	488989902
